iphi,phi min,phi max,ieta,eta min,eta max
0,-0.098175,-0.073631,41,-0.173523,-0.148054
0,-0.098175,-0.073631,40,-0.198991,-0.173523
1,-0.073631,-0.049087,41,-0.173523,-0.148054
1,-0.073631,-0.049087,40,-0.198991,-0.173523
0,-0.098175,-0.073631,43,-0.123759,-0.099833
0,-0.098175,-0.073631,42,-0.147685,-0.123759
1,-0.073631,-0.049087,43,-0.123759,-0.099833
1,-0.073631,-0.049087,42,-0.147685,-0.123759
0,-0.098175,-0.073631,45,-0.075416,-0.051375
0,-0.098175,-0.073631,44,-0.099457,-0.075416
1,-0.073631,-0.049087,45,-0.075416,-0.051375
1,-0.073631,-0.049087,44,-0.099457,-0.075416
0,-0.098175,-0.073631,47,-0.026897,-0.002796
0,-0.098175,-0.073631,46,-0.050998,-0.026897
1,-0.073631,-0.049087,47,-0.026897,-0.002796
1,-0.073631,-0.049087,46,-0.050998,-0.026897
2,-0.049087,-0.024544,41,-0.173523,-0.148054
2,-0.049087,-0.024544,40,-0.198991,-0.173523
3,-0.024544,-0.000000,41,-0.173523,-0.148054
3,-0.024544,-0.000000,40,-0.198991,-0.173523
2,-0.049087,-0.024544,43,-0.123759,-0.099833
2,-0.049087,-0.024544,42,-0.147685,-0.123759
3,-0.024544,-0.000000,43,-0.123759,-0.099833
3,-0.024544,-0.000000,42,-0.147685,-0.123759
2,-0.049087,-0.024544,45,-0.075416,-0.051375
2,-0.049087,-0.024544,44,-0.099457,-0.075416
3,-0.024544,-0.000000,45,-0.075416,-0.051375
3,-0.024544,-0.000000,44,-0.099457,-0.075416
2,-0.049087,-0.024544,47,-0.026897,-0.002796
2,-0.049087,-0.024544,46,-0.050998,-0.026897
3,-0.024544,-0.000000,47,-0.026897,-0.002796
3,-0.024544,-0.000000,46,-0.050998,-0.026897
4,-0.000000,0.024544,41,-0.173523,-0.148054
4,-0.000000,0.024544,40,-0.198991,-0.173523
5,0.024544,0.049087,41,-0.173523,-0.148054
5,0.024544,0.049087,40,-0.198991,-0.173523
4,-0.000000,0.024544,43,-0.123759,-0.099833
4,-0.000000,0.024544,42,-0.147685,-0.123759
5,0.024544,0.049087,43,-0.123759,-0.099833
5,0.024544,0.049087,42,-0.147685,-0.123759
4,-0.000000,0.024544,45,-0.075416,-0.051375
4,-0.000000,0.024544,44,-0.099457,-0.075416
5,0.024544,0.049087,45,-0.075416,-0.051375
